Measure,Effect,Comparison,Mean_1,Mean_2,Difference,t,p
BPM,Modality,sound vs vibration,74.70518136868422,73.05244085526317,1.652740513421051,2.222107589445814,0.03933376156223289
BPM,Modality,sound vs light,74.70518136868422,74.64937458499999,0.05580678368423264,0.0930966035902832,0.9268552040709623
BPM,Modality,sound vs sound+light,74.70518136868422,75.54439606710527,-0.8392146984210456,-1.0466568065868627,0.3091101004884885
BPM,Modality,vibration vs light,73.05244085526317,74.64937458499999,-1.5969337297368185,-1.5089931730107722,0.14865364007054635
BPM,Modality,vibration vs sound+light,73.05244085526317,75.54439606710527,-2.4919552118420967,-2.026488564922754,0.05779372747824096
BPM,Modality,light vs sound+light,74.64937458499999,75.54439606710527,-0.8950214821052782,-1.5201335568493601,0.1458486567710351
BPM,Modality:Frequency,sound: 10 Hz vs 40 Hz,75.54143048736843,73.86893224999999,1.672498237368444,1.6223581659779212,0.12211066194847713
BPM,Modality:Frequency,vibration: 10 Hz vs 40 Hz,73.99536732894735,72.10951438157895,1.8858529473684058,1.6586878757161994,0.11450191837741865
BPM,Modality:Frequency,light: 10 Hz vs 40 Hz,74.76096197578948,74.53778719421054,0.22317478157894755,0.1780560419555994,0.8606675186944586
BPM,Modality:Frequency,sound+light: 10 Hz vs 40 Hz,74.6849324531579,76.40385968105264,-1.7189272278947385,-4.855778911554801,0.00012697769618320902
SF,Modality,sound vs vibration,7.324242798684213,7.052968139999999,0.27127465868421385,0.7362014974847236,0.47109434907997905
SF,Modality,sound vs light,7.324242798684213,7.11765616368421,0.20658663500000252,0.297199971341217,0.7697163849382633
SF,Modality,sound vs sound+light,7.324242798684213,5.766432179736842,1.5578106189473706,2.9482436967351178,0.008599319988520484
SF,Modality,vibration vs light,7.052968139999999,7.11765616368421,-0.06468802368421134,-0.1254745307166697,0.9015386869004482
SF,Modality,vibration vs sound+light,7.052968139999999,5.766432179736842,1.2865359602631568,3.0049891486861378,0.007602468093189427
SF,Modality,light vs sound+light,7.11765616368421,5.766432179736842,1.351223983947368,2.0269955766999685,0.057737122139729584
SF,Frequency,10 Hz vs 40 Hz,7.300469232105262,6.330180408947368,0.9702888231578939,2.1753313428223784,0.04317564013683368
