Measure,Effect,F Value,Num DF,Den DF,Pr > F
BPM,Modality,2.867122304068517,3.0,54.0,0.04491296297261666
BPM,Frequency,0.5394093425460247,1.0,18.0,0.47213779219308405
BPM,Modality:Frequency,3.9878001892180577,3.0,54.0,0.012257094780165546
RMSSD,Modality,1.575035516692327,3.0,51.0,0.20678444232224846
RMSSD,Frequency,0.028451138995473364,1.0,17.0,0.8680431814632347
RMSSD,Modality:Frequency,1.9547279245573423,3.0,51.0,0.13253005788629404
SDNN,Modality,1.5855413913122516,3.0,54.0,0.20351957440122237
SDNN,Frequency,0.0020881049758067513,1.0,18.0,0.9640558730571516
SDNN,Modality:Frequency,0.9165565850773674,3.0,54.0,0.43912500826789946
TH,Modality,0.8566378251904551,3.0,54.0,0.46924699739810993
TH,Frequency,1.4589124393374826,1.0,18.0,0.24273437305229606
TH,Modality:Frequency,0.4179079637326636,3.0,54.0,0.7408580350703289
SF,Modality,3.364692093060988,3.0,54.0,0.025122456309825996
SF,Frequency,4.73206645106541,1.0,18.0,0.04317564013683373
SF,Modality:Frequency,0.5732150226047474,3.0,54.0,0.6350800752142977
SCR_Peaks_N,Modality,0.0962014897613272,3.0,54.0,0.9618089581205224
SCR_Peaks_N,Frequency,1.9198088505201625,1.0,18.0,0.18280759788406
SCR_Peaks_N,Modality:Frequency,0.02637254841821168,3.0,54.0,0.9941475445022093
SCR_Amplitude,Modality,0.0613938857321199,3.0,54.0,0.9798864706087295
SCR_Amplitude,Frequency,2.829715258059646,1.0,18.0,0.10980108558385727
SCR_Amplitude,Modality:Frequency,0.3259316993285332,3.0,54.0,0.8065899596907994
